Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
126	12	0.333302835	2.61883402	101324.021	101323.742	101321.102	101324.551	0.0479016578	0.145758097	0	100	0	0	3
127	12	0.336650059	2.63961842	101323.892	101323.75	101321.102	101324.551	0.0489122773	0.145758097	0	100	0	0	3
128	12	0.339979887	2.66040281	101323.898	101323.758	101321.102	101324.551	0.0566470558	0.145758097	0	100	0	0	3
129	12	0.34	2.68118721	101311.772	101323.755	101311.772	101324.551	0.0566470558	0.145758097	0	100	0	0	3
130	12	0.343297186	2.70197161	101319.531	101323.564	101311.772	101324.551	0.193719249	0.145758097	0	75.2	0	0	3
131	12	0.344891775	2.722756	101324.367	101323.567	101311.772	101324.551	0.193719249	0.145758097	0	75.2	0	0	3
132	12	0.348082099	2.7435404	101325.53	101323.654	101311.772	101325.53	0.193719249	0.145758097	0	75.2	0	0	3
133	12	0.35	2.7643248	101323.884	101323.653	101311.772	101325.53	0.193719249	0.145758097	0	75.2	0	0	3
134	12	0.353286833	2.78510919	101324.354	101323.693	101311.772	101325.53	0.193719249	0.145758097	0	75.2	0	0	3
135	12	0.35656874	2.80589359	101324.299	101323.712	101311.772	101325.53	0.193719249	0.145758097	0	75.2	0	0	3
136	12	0.359883935	2.82667799	101324.635	101323.761	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
137	12	0.36	2.84746239	101319.327	101323.755	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
138	12	0.363343252	2.86824678	101321.768	101323.656	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
139	12	0.366694979	2.88903118	101323.456	101323.645	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
140	13	0.37	2.90981558	101324.357	101323.671	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
141	13	0.373296765	2.93059997	101324.404	101323.703	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
142	13	0.376580217	2.95138437	101324.465	101323.747	101311.772	101325.53	0.197056972	0.145758097	0	73.9	0	0	3
143	13	0.379855156	2.97216877	101324.324	101323.773	101311.772	101325.53	0.208418718	0.145758097	0	69.9	0	0	3
144	13	0.38	2.99295316	101322.849	101323.775	101311.772	101325.53	0.210511853	0.145758097	0	69.2	0	0	3
145	13	0.383285931	3.01373756	101323.683	101323.782	101311.772	101325.53	0.218037755	0.146952154	0	67.3	0	0	3
146	13	0.386604166	3.03452196	101323.728	101323.784	101311.772	101325.53	0.219258922	0.149692289	0	68.2	0	0	3
147	13	0.389932153	3.05530635	101323.642	101323.792	101311.772	101325.53	0.22762338	0.152376504	0	66.9	0	0	3
148	13	0.39	3.07609075	101323.198	101323.78	101311.772	101325.53	0.22762338	0.155006492	0	68	0	0	3
