Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
64	6	0.0757920668	0.706299659	293.197716	293.198813	293.197716	293.199845	0.00108624268	0	0	0	0	0	3
65	6	0.0776016183	0.717335591	293.197666	293.198777	293.197666	293.199833	0.00111730103	0	0	0	0	0	3
66	6	0.0794140254	0.728371524	293.197618	293.19874	293.197618	293.199815	0.00114491501	0	0	0	0	0	3
67	6	0.0812291279	0.739407456	293.197571	293.198699	293.197571	293.199795	0.00117627481	0	0	0	0	0	3
68	6	0.0830468636	0.750443388	293.197527	293.198659	293.197527	293.199775	0.00120737401	0	0	0	0	0	3
69	6	0.0848671408	0.76147932	293.197485	293.198619	293.197485	293.199756	0.00123818464	0	0	0	0	0	3
70	6	0.0866899035	0.772515252	293.197445	293.198578	293.197445	293.199737	0.00126873082	0	0	0	0	0	3
71	6	0.0885147344	0.783551184	293.197408	293.198539	293.197408	293.199704	0.00129327145	0	0	0	0	0	3
72	6	0.0903400486	0.794587117	293.197373	293.198493	293.197373	293.199675	0.00132384981	0	0	0	0	0	3
73	6	0.092165636	0.805623049	293.197341	293.198448	293.197341	293.199641	0.00135373138	0	0	0	0	0	3
74	6	0.0939912982	0.816658981	293.197312	293.198403	293.197312	293.19961	0.00138309756	0	0	0	0	0	3
75	7	0.0958168643	0.827694913	293.197285	293.198358	293.197285	293.199574	0.00141159777	0	0	0	0	0	3
76	7	0.0976422558	0.838730845	293.197261	293.198314	293.197261	293.199531	0.00143389051	0	0	0	0	0	3
77	7	0.0994673618	0.849766778	293.19724	293.198265	293.19724	293.199488	0.00146159498	0	0	0	0	0	3
78	7	0.1	0.86080271	293.197236	293.198233	293.197236	293.199448	0.00147269426	0	0	0	0	0	3
79	7	0.10182463	0.871838642	293.197219	293.198184	293.197219	293.199403	0.00149968029	0	0	0	0	0	3
80	7	0.103648828	0.882874574	293.197204	293.198136	293.197204	293.199355	0.00152559669	0	0	0	0	0	3
81	7	0.105472519	0.893910506	293.197192	293.198089	293.197192	293.199308	0.00155044337	0	0	0	0	0	3
82	7	0.107295729	0.904946438	293.197182	293.198043	293.197182	293.19926	0.00157409355	0	0	0	0	0	3
83	7	0.109118478	0.915982371	293.197174	293.197998	293.197174	293.199209	0.00159644916	0	0	0	0	0	3
