Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
107	10	0.152503938	1.18084474	0	0	0	0	0	0.001	0	1000	0	0	3
108	10	0.15429501	1.19188067	0	0	0	0	0	0.001	0	1000	0	0	3
109	10	0.156089989	1.20291661	0	0	0	0	0	0.001	0	1000	0	0	3
110	10	0.157883128	1.21395254	0	0	0	0	0	0.001	0	1000	0	0	3
111	10	0.159678119	1.22498847	0	0	0	0	0	0.001	0	1000	0	0	3
112	10	0.161468542	1.2360244	0	0	0	0	0	0.001	0	1000	0	0	3
113	10	0.163255009	1.24706034	0	0	0	0	0	0.001	0	1000	0	0	3
114	10	0.165038693	1.25809627	0	0	0	0	0	0.001	0	1000	0	0	3
115	10	0.16682356	1.2691322	0	0	0	0	0	0.001	0	1000	0	0	3
116	10	0.168604246	1.28016813	0	0	0	0	0	0.001	0	1000	0	0	3
117	11	0.170382132	1.29120406	0	0	0	0	0	0.001	0	1000	0	0	3
118	11	0.172158122	1.30224	0	0	0	0	0	0.001	0	1000	0	0	3
119	11	0.17393288	1.31327593	0	0	0	0	0	0.001	0	1000	0	0	3
120	11	0.175710364	1.32431186	0	0	0	0	0	0.001	0	1000	0	0	3
121	11	0.177485187	1.33534779	0	0	0	0	0	0.001	0	1000	0	0	3
122	11	0.179259722	1.34638373	0	0	0	0	0	0.001	0	1000	0	0	3
123	11	0.181037628	1.35741966	0	0	0	0	0	0.001	0	1000	0	0	3
124	11	0.182814167	1.36845559	0	0	0	0	0	0.001	0	1000	0	0	3
125	11	0.184593259	1.37949152	0	0	0	0	0	0.001	0	1000	0	0	3
126	11	0.186374954	1.39052745	0	0	0	0	0	0.001	0	1000	0	0	3
127	11	0.18815629	1.40156339	0	0	0	0	0	0.001	0	1000	0	0	3
128	11	0.18994321	1.41259932	0	0	0	0	0	0.001	0	1000	0	0	3
129	12	0.191728921	1.42363525	0	0	0	0	0	0.001	0	1000	0	0	3
130	12	0.193516194	1.43467118	0	0	0	0	0	0.001	0	1000	0	0	3
131	12	0.19530289	1.44570712	0	0	0	0	0	0.001	0	1000	0	0	3
132	12	0.197091961	1.45674305	0	0	0	0	0	0.001	0	1000	0	0	3
133	12	0.198878334	1.46777898	0	0	0	0	0	0.001	0	1000	0	0	3
134	12	0.2	1.47881491	0	0	0	0	0	0.001	0	1000	0	0	3
135	12	0.201787618	1.48985084	0	0	0	0	0	0.001	0	1000	0	0	3
136	12	0.203578179	1.50088678	0	0	0	0	0	0.001	0	1000	0	0	3
137	12	0.205366785	1.51192271	0	0	0	0	0	0.001	0	1000	0	0	3
138	12	0.207159104	1.52295864	0	0	0	0	0	0.001	0	1000	0	0	3
139	12	0.20894993	1.53399457	0	0	0	0	0	0.001	0	1000	0	0	3
140	12	0.210744168	1.5450305	0	0	0	0	0	0.001	0	1000	0	0	3
141	13	0.212535781	1.55606644	0	0	0	0	0	0.001	0	1000	0	0	3
142	13	0.214328581	1.56710237	0	0	0	0	0	0.001	0	1000	0	0	3
143	13	0.216117184	1.5781383	0	0	0	0	0	0.001	0	1000	0	0	3
144	13	0.21790253	1.58917423	0	0	0	0	0	0.001	0	1000	0	0	3
145	13	0.219689669	1.60021017	0	0	0	0	0	0.001	0	1000	0	0	3
146	13	0.221472669	1.6112461	0	0	0	0	0	0.001	0	1000	0	0	3
147	13	0.223253332	1.62228203	0	0	0	0	0	0.001	0	1000	0	0	3
148	13	0.225036706	1.63331796	0	0	0	0	0	0.001	0	1000	0	0	3
149	13	0.22681692	1.64435389	0	0	0	0	0	0.001	0	1000	0	0	3
150	13	0.228596384	1.65538983	0	0	0	0	0	0.001	0	1000	0	0	3
151	13	0.230379647	1.66642576	0	0	0	0	0	0.001	0	1000	0	0	3
